sensor_1,residual
"(27.499, 35.8]",-1.427775462468465
"(35.8, 44.06]",-2.0554893016815186
"(44.06, 52.32]",-0.5552518367767334
"(52.32, 60.58]",-0.4726216197013855
"(60.58, 68.84]",-1.374694585800171
